,entity,meaning
0,stool, solid excretory product evacuated from the bowels
1,stool, a simple seat without a back or arms
2,founder, sink below the surface
3,founder," fail utterly; collapse; ""The project foundered"""
4,enjoyment, the pleasure felt when having a good time
5,enjoyment, act of receiving pleasure from something
6,quilt," stitch or sew together; ""quilt the skirt"""
7,quilt, create by stitching together
8,quilt, bedding made of two layers of cloth filled with stuffing and stitched together
9,raise," move upwards; ""lift one's eyes"""
10,raise," increasing the size of a bet (as in poker); ""I'll see your raise and double it"""
11,raise," raise in rank or condition; ""The new law lifted many people from poverty"""
12,raise," cause to be heard or known; express or utter; ""raise a shout""; ""raise a protest""; ""raise a sad cry"""
13,raise," cultivate by growing, often involving improvements by means of agricultural techniques; ""The Bordeaux region produces great red wines""; ""They produce good ham in Parma""; ""We grow wheat here""; ""We raise hogs here"""
14,raise," raise from a lower to a higher position; ""Raise your hands""; ""Lift a load"""
15,raise," cause to puff up with a leaven; ""unleavened bread"""
16,raise," call forth (emotions, feelings, and responses); ""arouse pity""; ""raise a smile""; ""evoke sympathy"""
17,raise," put forward for consideration or discussion; ""raise the question of promotions""; ""bring up an unpleasant topic"""
18,raise," pronounce (vowels) by bringing the tongue closer to the roof of the mouth; ""raise your `o'"""
19,raise," establish radio communications with; ""They managed to raise Hanoi last night"""
20,raise," invigorate or heighten; ""lift my spirits""; ""lift his ego"""
21,raise," raise the level or amount of something; ""raise my salary""; ""raise the price of bread"""
22,raise," the act of raising something; ""he responded with a lift of his eyebrow""; ""fireman learn several different raises for getting ladders up"""
23,raise," increase; ""This will enhance your enjoyment""; ""heighten the tension"""
24,twaddle, speak (about unimportant matters) rapidly and incessantly
25,twaddle, pretentious or silly talk or writing
26,yodel, a songlike cry in which the voice fluctuates rapidly between the normal voice and falsetto
27,yodel," sing by changing register; sing by yodeling; ""The Austrians were yodeling in the mountains"""
28,bit," a unit of measurement of information (from binary + digit); the amount of information in a system having two equiprobable states; ""there are 8 bits in a byte"""
29,bit," piece of metal held in horse's mouth by reins and used to control the horse while riding; ""the horse was not accustomed to a bit"""
30,bit," the cutting part of a drill; usually pointed and threaded and is replaceable in a brace or bitstock or drill press; ""he looked around for the right size bit"""
31,rush, attack suddenly
32,rush," cause to move fast or to rush or race; ""The psychologist raced the rats through a long maze"""
33,rush," a sudden burst of activity; ""come back after the rush"""
34,rush," act or move at high speed; ""We have to rush!""; ""hurry--it's late!"""
35,rush," urge to an unnatural speed; ""Don't rush me, please!"""
36,rush, grasslike plants growing in wet places and having cylindrical often hollow stems
37,rush, physician and American Revolutionary leader; signer of the Declaration of Independence (1745-1813)
38,idolization, the act of admiring strongly
39,idolization, the act of worshiping blindly and to excess
